"","C42_1","C42_2","C42_3","C42B_1","C42B_2","C42B_3","LNCAP_1","LNCAP_2","LNCAP_3","MR49F_1","MR49F_2","MR49F_3"
"ENSG00000000003",6.54064988093592,4.95966914747951,9.21775207418273,23.4592230791282,6.8840486930401,629.026470056659,25.9908132889508,12.5653533632131,8.22595316558673,23.2772510787239,132.531960139632,17.9222042992214
"ENSG00000000419",67.2618104681567,110.493986041183,202.293720144027,87.942791355011,5.63771771751495,550.182832036075,310.479153880299,112.624613951221,5.87514918977212,196.104103377777,278.451661662798,60.0501685367837
"ENSG00000000457",16.635583542427,2.9524012489904,17.6840404561065,118.923467312991,4.13757629495275,219.333379572059,24.1088559205106,38.4656148076495,3.94855586784539,39.4848470535404,63.9539825372803,51.0511273977821
"ENSG00000000460",4.76556891134603,40.5273641610986,158.414265978676,8.04374645798934,5.66856968167227,226.717239614037,43.9355116304786,56.7905322106331,20.8242503618676,34.7855560909439,39.6524500624165,53.4954706547333
"ENSG00000001036",31.4985895726888,157.167492483297,483.071781993955,21.3292852737195,44.1574817248836,2170.45272093807,116.768621905795,187.364643586885,21.6364493849328,107.637189590799,111.8846198203,180.889571035007
"ENSG00000001084",17.9599796457612,9.31391396879685,100.26219365739,279.075624301902,17.1084438118781,874.828152581806,35.5341752585778,16.3368843617532,8.22869252868815,94.8935008631449,173.373380462054,107.429328958811
"ENSG00000001167",8.35640607057693,77.4883212695179,110.383900826612,96.0160366726206,63.1971567681286,721.408245362009,105.919784909969,61.4335670603884,47.6182728433529,204.623834048331,83.1190504519443,42.6351260073516
"ENSG00000001460",2.27333188362523,0.748578024200022,31.5317333676138,2.43470991129533,4.25293905682669,64.5445702848416,5.66182406670782,33.3542947224069,2.2845883218777,14.9015568291844,9.79583740774949,8.0366712182555
"ENSG00000001461",7.81256959327346,82.0424607989317,37.1987269221619,158.870540115242,22.3397517912312,519.355549302659,177.168524172255,99.9365570952458,8.77665242668056,94.2380815814982,92.8138160419029,77.4650021184794
"ENSG00000001497",23.0668541036499,44.056134790014,159.41888915664,35.9863685115133,28.5929186938864,969.367524618473,76.98652679258,40.04546842576,8.82555186013323,389.312319538372,523.756917743466,199.987578341629
"ENSG00000001561",7.61440676093578,8.6500087642776,189.147117112522,207.639945102743,29.0737431096121,733.944061025743,9.56928757103227,91.7544554300808,20.8584149535005,138.328600345815,63.5616268161927,113.348573266589
"ENSG00000001617",4.35006860956763,10.5068841348633,109.649623423649,42.3368552315055,57.7330307323424,645.445702848416,66.5223156924362,18.6532288215841,4.31015069285839,76.9382322452968,11.5338360928082,27.8855403700917
"ENSG00000001629",14.043494394124,63.4144043074487,48.340168975636,32.0570958917085,137.168852452676,869.881807315596,4549.9479021131,79.3671175397918,19.5289017601271,190.122814078013,246.884849921653,123.049485217962
"ENSG00000001630",1.54652350043861,2.66457069956434,44.7187129232959,7.72821708942248,1.91831208513262,43.747796033885,4.16532709274031,15.6076088316691,3.7974192608936,19.9679223677384,4.34647888757251,15.9677487931082
"ENSG00000001631",13.5887675206039,10.8172908774145,240.629264777735,8.61114396286599,13.0646744143472,646.125119377731,166.490251937719,150.95103903971,19.9602420883969,191.375166908498,98.9497451944609,131.797491472949
"ENSG00000002016",2.40489847045964,9.49928853233134,38.3639904991298,6.69919360103776,8.1048356611759,215.657170385258,32.7898776375233,18.0470193030894,6.56226376949609,54.4630300678246,16.873071372021,34.381371512792
"ENSG00000002330",1.81718895829368,3.57915468466846,70.5258942702223,2.80218476126103,3.89107078051952,200.4932046601,67.1582127722672,57.3718958229374,4.10336186792854,75.7251842370051,95.8303035880098,79.5634206061135
"ENSG00000002549",20.5335681153444,102.780599575124,55.1234396943196,187.209508737212,24.0529847315263,905.838153927066,97.2724547005479,38.0946363625655,11.8932082280613,363.871114897433,75.9734423029463,26.275865211336
"ENSG00000002586",23.1878813686009,52.0089579623999,85.0000597339869,32.9332261351577,20.1805426925585,698.246073126543,40.0397946435307,639.495125568522,46.4584193178417,378.305599440943,581.685190863339,51.5849251509238
"ENSG00000002587",11.1723864323143,10.4047721862718,31.6205965267493,9.40824023916599,0.911778375141161,77.8825895182189,5.41528177997798,39.7561822761415,0.167209964387685,27.2668030817034,12.8740045202881,3.17550167444538
"ENSG00000002822",2.41836943551761,16.1628978117757,21.5949340185147,8.82388457153382,4.133440468929,150.69681379705,23.6084944595099,27.5235108065595,4.84955544572523,39.2478431696656,7.45337411938151,21.1214515144257
"ENSG00000002834",71.7427979975897,196.181046243405,195.052267589133,54.5773199223661,36.1193316073474,709.870886842165,163.213462769206,408.019664665098,13.8251898925302,214.010435906576,172.863410986971,155.226637585483
"ENSG00000002919",6.95149732916786,37.675418223337,2.41792778901774,20.2021950425129,5.50075305536485,212.635457013084,7.27316987986699,14.6564321729965,1.62341345553903,78.888671849105,14.4864350273853,5.30931724936934
"ENSG00000003056",22.5376143132496,29.4386710551023,320.784529381007,234.511222822866,53.5132804627323,1479.32957838601,20.98059434005,31.0536027870425,30.3299311402373,240.451743453131,374.936786581922,38.6949161612691
"ENSG00000003096",0.421766854734686,0.877105290200147,45.1756090962031,8.79878587489445,1.55629055755145,22.3169457198319,3.5682089247917,37.6698897903335,0.67615965503006,4.64527612394593,6.60735124120216,4.8662253152132
"ENSG00000003137",0.0857777479518691,0.0324183954266761,0.211184159157992,9.68614502073248,0.528474524183483,49.2576983752739,0,0.19463381186003,0,0.517391529543614,0,0.159308482659746
"ENSG00000003147",18.7738394147905,8.66303545443187,52.7669825096139,14.1857481675246,7.37343193122927,308.285250176283,238.511678211635,43.7135105696304,27.8353800867623,177.350484409325,14.7186786451547,114.889439669578
"ENSG00000003249",2.76490844591467,7.00969832809073,75.4084667789381,98.5785820830204,41.2076460453408,485.154786373677,104.454525199912,71.5496599675519,24.0296738941452,69.5450262755579,101.864353179919,51.8526778092613
"ENSG00000003393",5.07802911973101,95.1313907965037,81.7493616449952,78.5146626231786,17.6845460887671,365.865801035655,330.98477010394,26.5580815371967,3.77094668354297,60.3091309407559,117.709696243152,84.333576178315
"ENSG00000003400",1.52303878092022,6.31672434888785,23.2851917045433,4.75110911078859,0.273543539798206,29.5546190251643,1.70767193931177,1.49012638124685,1.20538133495202,11.8712612056396,10.6445352600836,5.96726650418098
"ENSG00000003402",22.0781225646677,62.8478136861534,295.015675639563,112.265589799329,13.9371197273947,531.943176774763,227.001056009542,16.843767645222,31.4976254923172,139.715612650989,11.9497207304507,21.235143712035
"ENSG00000003436",93.9338229525424,339.628143672183,1193.60081367061,0.388063043962553,0.122244107060418,6.59433690216648,257.144552316964,262.341812954755,98.6091092042776,4797.17665319896,232.720549345915,457.458141584048
"ENSG00000003509",4.69584099026317,1.08961224992795,41.3092281375191,13.8901852347259,13.4112277454467,200.456664983654,6.80448990971226,36.5546627899618,11.6807591369012,708.085815442267,144.128776596367,50.6753911001344
"ENSG00000003756",27.7410511889342,31.2969182966859,533.255548102354,50.4228422629264,191.333185183468,1010.34365580929,145.012301798294,288.671064335274,36.7076171347544,3523.44194001299,532.819069236974,294.019553876124
"ENSG00000003989",16.332962856504,132.305182388091,315.24427851061,10.7636608250567,16.298643174012,139.25928861718,120.009413843133,118.455616129497,35.9620116317488,442.628453524562,46.0750628168563,51.673178950108
"ENSG00000004059",29.8198998648461,46.6123557604255,448.541392677795,321.917961693826,28.0599940666915,841.248979090667,258.167034119482,145.000162400182,12.0099432664729,2406.06722115903,404.725459341361,281.102093488588
"ENSG00000004139",15.0475506281536,8.74887561843387,45.6700917364497,104.28542839496,10.6930749586191,608.407607585321,123.528244556649,36.7863952700473,17.349243877333,1393.38928401195,68.156693720471,63.9833267054061
"ENSG00000004142",19.3050345963911,32.3736511932996,55.2073271768887,54.9447992404123,224.289957590721,2100.63526458266,337.909279703079,640.850333672361,46.9749680870174,4529.6701011632,826.972076893565,273.364338782841
"ENSG00000004399",0.11101143058367,0.306956407096251,3.35093803735573,15.1145728014283,7.17844562015898,271.184254700523,0.361863815711304,0.63573326591238,0.0239705370004674,100.021690158155,21.0070455974152,9.66128862581683
"ENSG00000004455",6.58511674768217,59.0956900411607,135.039812463527,178.205706164266,26.3532332466701,1582.70080503725,173.462619580991,556.344136120394,54.5107438640686,231.019754675976,212.622623501863,86.7426149342815
"ENSG00000004478",35.8004129496944,91.80306053717,509.640442836946,294.371123935242,87.820923505001,4111.86432731732,443.496804691768,1036.02370301517,101.891449265995,1274.11381043287,412.465466680303,980.514071983263
"ENSG00000004487",27.8575193402406,8.97616842403469,92.185257870664,204.441664767267,36.7469579732042,948.102066081254,148.126876693627,304.660524394181,12.8306447276729,250.943365485688,279.372364019035,31.5287172822169
"ENSG00000004534",11.5769419377232,6.78781926825158,468.428041938011,320.733465466991,20.7912516109162,1033.03060891696,29.240684543088,103.863696847268,28.9015148424945,348.654433535759,82.5720677132732,254.516344733052
"ENSG00000004660",10.0436003404501,12.5639705197861,98.5609939816144,167.306913687056,29.6885311379187,681.003951111585,97.3645803314997,82.1016480788512,12.9878150426299,200.631059410085,254.246507264771,48.1593072065786
