"index","kidneySRR8374780","kidneySRR8374781","liverSRR8374774","liverSRR8374775","lungSRR8374778","lungSRR8374779","sIntestineSRR8374776","sIntestineSRR8374777"
"ENSMUSG00000021640",0.0133014984081346,0.0608425862165179,0.0233661660042766,0.0394718288351345,0.142262936261002,0.0279890948091675,12.4982211579403,8.6831551868057
"ENSMUSG00000021643",4.92802098562051,3.84325456400298,1.79107054614935,2.77347287162809,6.13394007946285,4.52923838216535,4.7309505866911,7.43450545518087
"ENSMUSG00000021645",4.65913719550116,5.58775307240342,2.44537023726238,2.82418498782743,9.30526937256571,8.99676625924555,6.69461840351047,6.13277258196725
"ENSMUSG00000021646",41.9169046480926,38.1462025391982,26.1757098018615,24.3315509859268,8.08085971995044,8.98607769105178,6.11448951629547,9.53088014794122
"ENSMUSG00000021650",17.5017743843371,17.0981949565649,13.6642705985573,16.0296394095734,16.4076586487689,16.322241420779,17.9175631081296,25.2995008192659
"ENSMUSG00000021660",65.6339836345722,52.2636532739148,41.2091561988615,43.4770278166942,96.2381358352174,97.5216675049781,100.099848885618,118.686352258453
"ENSMUSG00000021661",3.05759564792109,3.84852165017308,2.01417967992574,2.97718659151647,6.32319370936553,6.73539649688015,6.22281948926018,4.40031737922743
"ENSMUSG00000021662",6.32065131999117,10.8092123895274,0.247130367084533,0.149096646036643,6.64993807134876,6.75569970277083,1.33385396249259,1.35360199730547
"ENSMUSG00000021665",58.0674470444447,50.3940903752304,3.86843673398819,3.66868490126009,14.8753589428503,13.8607401475527,23.7398547278496,17.7476389407518
"ENSMUSG00000021666",4.0316051178894,6.11023179119747,3.42606381702462,3.6811313053472,2.19280641557717,2.36373079127364,4.15250893798075,3.79662760419613
"ENSMUSG00000021668",1.41890314875839,3.22489446476353,1.21132089680949,1.57403957811132,4.94623097029339,5.31559936944112,2.0766598334341,2.26719756054522
"ENSMUSG00000021669",4.50620397941552,8.42470359430506,2.85850258498554,4.05936799392783,10.2796890028713,10.1404531274228,7.58751680118514,6.05273379380667
"ENSMUSG00000021670",3.82609236850167,4.89996778653146,6.57888455668452,4.58057687639504,4.66857091449508,5.86777618582933,7.56325016473223,6.34534838903935
"ENSMUSG00000021671",0.977744185019506,1.58955758121772,0.538031110221014,0.85644586283266,2.69305035572499,3.09845682417916,1.24741966757201,1.48509831626238
"ENSMUSG00000021676",6.00988941834706,12.6749378546445,33.0168176978897,42.313581641307,3.85527380483983,2.99370310488407,69.1191681626132,51.2555007236179
"ENSMUSG00000021678",3.03575036708498,6.08274921053806,0.0943853301712334,0.15944257163904,3.9148517899653,3.84401268249598,11.5395052617472,7.28404233665401
"ENSMUSG00000021681",7.62861981519795,12.7095011475799,5.52829456585034,7.77248034696146,17.5748791585407,18.9860091628858,14.0215584063993,12.4520531127946
"ENSMUSG00000021684",0.876781198013319,1.41322318080193,0.0880116312295801,0.0929222845855181,6.19578196976816,8.98743688424409,1.36371349195984,1.77374929839993
"ENSMUSG00000021686",11.5442499711169,14.0960731614806,9.89788325855035,11.2669332495912,15.347005253268,15.7911666618857,21.7816020305392,18.538513898013
"ENSMUSG00000021687",8.87116467557027,11.0633120630388,9.73974416736971,10.7779629073494,19.2294035233281,18.6329427114397,19.0073617253065,19.7886555698705
"ENSMUSG00000021690",2.17802200712434,4.30315109511294,2.38032066888091,2.38053717403713,4.65667801343476,5.85995209632984,2.16973207929923,2.41187863396083
"ENSMUSG00000021692",1.35763016315444,2.25949131743572,1.17565004543979,1.56042358396803,5.31725733411156,5.21052140686313,2.50964845456403,2.60876775084761
"ENSMUSG00000021693",1.32461535219064,2.48504483326513,0.667717524634645,1.401401192192,5.40505695515523,5.65935731888616,7.54160102518549,5.94769005250151
"ENSMUSG00000021694",0.53854999745282,0.652505019355345,0.354767793521377,0.527954397542005,0.977131036154974,1.54805976336185,1.01836493953149,1.42830727626118
"ENSMUSG00000021696",27.4327080252211,33.7272201859533,0.290106118862965,0.163356125914257,2.84568413145855,2.85724508744151,20.8266411636,13.0243034634253
"ENSMUSG00000021697",4.98973749479023,5.29535124901031,0.0386134611939329,0.0326143349897469,0.734671282780698,0.763174888432417,1.77032372700274,1.21475030218195
"ENSMUSG00000021699",0.864803466718977,4.48407394143987,0.312451920289071,0.600618812779697,1.80394048112402,1.78746015305696,2.3509236319541,1.91717642670338
"ENSMUSG00000021700",0.01222293886421,0.00465909421659672,0.0107357535894826,0.018135616601486,0.441205195634587,0.257195831792765,0.455745865298426,0.327184358872094
"ENSMUSG00000021701",1.31172736918161,1.81249761774376,1.55537188376363,1.75163161868781,9.99584815476103,11.2820918811804,1.44282179437926,1.89720208002629
"ENSMUSG00000021703",0.904063752862629,1.84911420384343,3.77664972674602,4.15504381535794,8.49002369967741,10.4512512057239,4.91658421129882,4.24595379756057
"ENSMUSG00000021704",0.761056502533426,2.88609001877836,1.61115395918504,1.92544281895876,2.20450057901838,2.84354665398196,3.28880274652616,3.62281330804686
"ENSMUSG00000021706",2.01716979191782,5.19203814901608,0.821940027532532,0.925653958336505,4.72629534644008,4.84621572907041,1.75237181079024,1.50836069892862
"ENSMUSG00000021707",24.3758478552004,19.9583406089744,8.10434950905016,10.6867300577494,3.20358998116977,2.63703651142382,14.7064068172142,14.4602312949095
"ENSMUSG00000021708",0.0797197089828223,0.461886369210654,0.0980281113995591,0.0946264130913952,4.38034927225984,5.77048655722222,2.16393485209158,2.73970610367813
"ENSMUSG00000021709",6.1681154175139,14.7785893426083,5.9471734065854,6.35813153591527,16.8892034863005,19.0586169020353,27.833377617164,18.4370471433283
"ENSMUSG00000021710",2.80348676868704,3.55325293232798,3.32383435996337,3.19377528400303,3.84083098496642,3.63443872511159,2.82201664534135,3.34261261361469
"ENSMUSG00000021711",8.40996634931967,9.58443862220529,4.9077813821015,6.00644179427898,11.6244736071418,10.8577316392965,10.2682507652485,10.3881902233027
"ENSMUSG00000021712",2.40886965290367,4.10261336534279,2.31835301635054,2.37641426430425,4.5051827645306,4.4082020739848,1.91100815416069,1.06214029379925
"ENSMUSG00000021713",0.688782352943675,1.31751102343143,0.395984984692884,0.7060892592168,1.80819095312964,1.87096626688982,1.17670327092444,0.692077127943798
"ENSMUSG00000021714",0.183001765902624,0.268292038882498,0.148371357292688,0.20886641601157,0.602231019033385,0.592420680036518,2.14150547489977,1.87192243624447
