,kidneySRR8374780,kidneySRR8374781,liverSRR8374774,liverSRR8374775,lungSRR8374778,lungSRR8374779,sIntestineSRR8374776,sIntestineSRR8374777
ENSMUSG00000000606,0,0,0,0,0,0,0,0
ENSMUSG00000000617,0,0,0,0,13,20,0,0
ENSMUSG00000000627,1,1,1,0,165,255,3,5
ENSMUSG00000000628,3,7,7,5,212,273,137,119
ENSMUSG00000000631,601,1853,291,431,900,1224,1009,772
ENSMUSG00000000632,1,2,0,0,0,2,2,1
ENSMUSG00000000673,4042,4425,4182,5096,134,275,20,15
ENSMUSG00000000682,62,62,34,52,1101,1766,183,316
ENSMUSG00000000686,33,39,258,229,50,70,26,13
ENSMUSG00000000690,0,0,0,0,0,0,0,0
ENSMUSG00000000693,17,35,9,12,119,129,29,39
ENSMUSG00000000701,0,0,0,0,0,0,0,0
ENSMUSG00000000706,0,0,0,0,0,0,3,0
ENSMUSG00000000708,748,1278,564,781,984,1266,467,309
ENSMUSG00000000711,1091,1825,687,709,1205,1706,567,466
ENSMUSG00000000724,0,0,0,0,0,0,0,0
ENSMUSG00000000730,1,1,0,2,8,10,3,4
ENSMUSG00000000731,2,2,0,0,8,7,1,3
ENSMUSG00000000732,47,134,7,12,443,659,122,110
ENSMUSG00000000738,0,0,0,0,0,0,0,0
ENSMUSG00000000739,0,0,0,0,0,0,0,0
ENSMUSG00000000740,0,0,0,0,0,0,0,0
ENSMUSG00000000743,0,0,0,0,0,0,0,0
ENSMUSG00000000751,457,689,199,215,551,824,231,336
ENSMUSG00000000753,28,29,4313,4354,337,403,20,16
ENSMUSG00000000759,199,668,112,158,660,1005,320,254
ENSMUSG00000000766,0,3,0,0,2,0,4,0
ENSMUSG00000000776,181,310,58,77,187,258,95,80
ENSMUSG00000000782,0,0,0,1,3,6,0,0
ENSMUSG00000000787,3767,4432,2149,2594,4736,4756,3538,2457
ENSMUSG00000000791,1,5,14,15,22,21,28,16
ENSMUSG00000000792,0,4,0,0,9,14,3,0
ENSMUSG00000000794,8,27,1,0,112,141,62,31
ENSMUSG00000000804,346,1015,198,214,440,667,418,236
ENSMUSG00000000805,2946,3337,10,13,3189,4277,1675,1396
ENSMUSG00000000811,348,388,42,79,245,338,53,67
ENSMUSG00000000817,2,3,1,1,4,25,27,16
ENSMUSG00000000823,22,164,7,35,40,35,16,13
ENSMUSG00000000826,1260,2242,484,749,1683,2347,1374,898
ENSMUSG00000000827,768,925,217,323,1135,1468,498,425
