"","C42_1","C42_2","C42_3","C42B_1","C42B_2","C42B_3","LNCAP_1","LNCAP_2","LNCAP_3","MR49F_1","MR49F_2","MR49F_3"
"ENSG00000000003",6.54064988093592,21.4876606056185,85.7355690081655,330.112296064145,36.1108251678135,179.721848587617,30.9369438178785,418.273959681503,19.5039187446748,20.9906604062297,127.59009043951,15.750873743297
"ENSG00000000419",67.2618104681567,4.70033001434316,34.9846718458643,1273.00794699139,12.9192327210543,154.533424934435,204.070805367333,1460.09767372476,6.63029556704067,14.7266881227214,161.258201367007,39.9495021336971
"ENSG00000000457",16.635583542427,11.9264326315915,52.5009304969604,3.93354812743861,2.17957479047201,17.3954059660599,38.5559397140869,61.1531087960755,6.13662301450226,64.2939102464728,9.02772472127959,2.23465356537936
"ENSG00000000460",4.76556891134603,8.85697362461096,89.6684524407597,29.6226432058646,9.483794996868,3.08584155492951,20.1699953593016,349.532204201159,6.72253096033487,20.5605348716232,23.4735983925508,4.69710613806614
"ENSG00000001036",31.4985895726888,47.1071881580074,571.179213929959,293.006854092917,33.9658604153852,29.4409562749701,187.956509822048,93.4777752393085,16.4841554018442,129.599037691164,89.414716947802,24.7931478660279
"ENSG00000001084",17.9599796457612,12.0480842071774,33.2191212396177,1433.60765908511,50.0112792753847,186.46735523158,150.26890034722,6.12448022083857,8.1348112676649,75.1711718932919,156.472201863552,101.146912060635
"ENSG00000001167",8.35640607057693,2.34332125713344,124.626984804239,27.4145040125769,68.8254022818296,229.153207350285,249.324169025089,87.9385930379791,33.9093153658072,9.17729084592113,41.7262635418236,19.6089215394383
"ENSG00000001460",2.27333188362523,3.08453033140497,6.61303830506187,8.41151760162255,0.517978218947332,7.28610314503914,13.3744866286898,54.6396012228903,1.80453073101868,5.96062273167377,4.02404543872299,1.7948458693587
"ENSG00000001461",7.81256959327346,12.5149516472947,44.9174627585105,903.292499512379,10.2979734806741,136.504127948132,99.5764697902453,34.5878341085824,12.9540181824069,48.0859157727754,116.1632037254,6.70491852849114
"ENSG00000001497",23.0668541036499,18.5437350188531,85.057362585172,210.236152883051,12.5148108403561,19.8984680038407,453.815315829945,58.5925907104289,10.2413477619132,54.8433024436534,204.089636941937,23.0983381589755
"ENSG00000001561",7.61440676093578,81.8446011982146,45.6673690288795,324.844374045755,9.50387882883295,59.7990634679749,52.3540759478318,79.0874686627422,8.32142308078152,110.942331994523,39.1804503105339,37.3237707840164
"ENSG00000001617",4.35006860956763,14.8270378607335,28.4364325114493,1205.68000767983,55.0851248115358,175.306240279817,48.8683165279051,2.57299137409455,4.41399886584785,23.5623336251222,47.277743374711,8.09580204292985
"ENSG00000001629",14.043494394124,32.6376206288912,35.3456879521564,39.2052082862191,25.6933632853935,114.952614943865,136.659212607637,178.482860570706,13.4431980504589,290.776068589902,77.0698737850661,84.5564241487353
"ENSG00000001630",1.54652350043861,2.108922278643,13.4572957665311,18.1077203336103,3.90495045068551,3.06608485023809,1.30355620162669,37.7980186671714,2.82068230814255,18.9121471620879,32.5294780349066,3.88337635760907
"ENSG00000001631",13.5887675206039,16.9393990240713,111.855009799025,345.625367276676,14.1167832610216,33.1037555340244,26.4547872415811,13.2167848895804,25.5685700956309,321.016409007802,18.4487068457929,18.2982714819006
"ENSG00000002016",2.40489847045964,4.80138331045941,24.1522288364967,36.8629653085675,4.74276649508923,139.057628991587,37.9418060388363,57.2877176851915,3.25431064318335,14.0793457300177,83.7966016453177,19.4886694564798
"ENSG00000002330",1.81718895829368,2.20906239044282,38.1472515181941,239.21089425399,1.89406251972733,4.05825093122819,31.7956940591007,221.6366922844,11.184178886091,27.8496412170218,39.9621567774417,56.6796671428372
"ENSG00000002549",20.5335681153444,10.3247253829722,72.7943016532207,201.361415445209,20.1252850422314,90.3418283524767,242.870030819492,1630.45043631781,14.4701824442379,271.545608132413,128.511528411637,51.2302541605814
"ENSG00000002586",23.1878813686009,18.8917802712796,256.603953913923,103.801120727157,14.3736731120191,127.727940206075,110.084840801255,49.5225025240263,518.494986926083,339.349645265102,102.302191997768,106.379910767101
"ENSG00000002587",11.1723864323143,6.03989579176527,176.590831409467,1.00038543357728,5.31008306148747,5.2104549325569,20.0524032438515,56.8476251238285,0.586575064362052,26.9163300343808,18.7452337791259,2.74003226146288
"ENSG00000002822",2.41836943551761,14.9166020768918,1.25936811472459,160.801215649334,1.41183962006147,54.554929623858,45.6430892883859,79.5911833117519,2.70469083080199,30.3198428089984,8.4823288798383,2.21115195541644
"ENSG00000002834",71.7427979975897,393.551068524649,149.03170514012,137.570319614739,79.4649585429973,705.363770100309,74.330081054804,604.829149974145,14.4435564892804,325.255953871999,294.844999246783,298.713445437611
"ENSG00000002919",6.95149732916786,5.43170735455169,45.8943961024456,297.879304453378,15.2924624950775,23.1612760625637,80.9985866563094,132.613279340696,4.37135136685236,54.8236426587719,30.1966100000063,8.84886208228223
"ENSG00000003056",22.5376143132496,12.2908115027672,107.807038184667,2187.74285501858,22.6292861531235,156.689114221572,11.5058436884336,747.7220435782,16.8228020506165,65.1223471852229,91.1189987948725,17.9145427819405
"ENSG00000003096",0.421766854734686,0.679870389271035,18.0287981255489,0.576789303546251,0.550499106986192,10.617753910757,10.0961932809825,3.10119557808792,2.29665076047498,2.14397359566735,4.06284038286282,0.569535904032052
"ENSG00000003137",0.0857777479518691,0.324767318708887,0.319985724438477,17.1273241382223,2.55949860342413,2.76328779665795,0,5.01321089690905,0,0.405470022204009,0,0.119291004009687
"ENSG00000003147",18.7738394147905,8.79231645772674,410.372520026997,394.808171891348,17.3392406284033,28.677697690817,145.78953435919,39.7020143230247,17.3598680315751,117.44392765274,42.2400530677703,34.1016895273494
"ENSG00000003249",2.76490844591467,14.9062225550247,29.4406975562704,38.5147409526305,20.9337911381173,11.4550435671563,45.2818569976583,456.699957239693,12.5100796199862,14.7203638949931,11.562980631234,9.74400513802417
"ENSG00000003393",5.07802911973101,156.354563091283,13.8058694239176,474.228562243999,7.53280256627828,124.985211533919,46.0864869764979,103.076910520605,10.4569544376244,87.974931890546,147.604222273159,17.6461383057029
"ENSG00000003400",1.52303878092022,5.28754205587025,1.63726992763997,9.21317736312617,2.8977211677706,5.52892532783687,0.7503639266545,3.28581238561455,0.542878184567404,4.08371385474002,1.75719312229951,3.58989662979838
"ENSG00000003402",22.0781225646677,15.2891344381816,40.70813975933,132.167217081937,19.9101710391352,117.952617458752,217.184794128049,86.5348562773278,6.22644589886277,111.527375010877,114.748628324284,11.6231287443514
"ENSG00000003436",93.9338229525424,112.034066147723,900.598029953017,0.486168869683424,0.0644127722646369,0.837636816962617,222.551114785534,1250.09141475593,215.630475462021,1547.4763397416,519.843305032433,104.577839212979
"ENSG00000003509",4.69584099026317,54.9612269631329,22.8884741593908,48.0343410099552,12.6614794606824,19.8939331102365,81.3990291071945,265.852093017904,5.77381812624458,65.3026701402453,61.4231047924703,4.84876292675812
"ENSG00000003756",27.7410511889342,131.220351115018,641.498465329101,2881.30527216722,30.8732952737656,262.063036335526,509.402188368367,600.072133736318,55.3050340385714,33.9715634543277,434.745229569728,18.8212590165317
"ENSG00000003989",16.332962856504,34.2631779703235,205.618790668182,69.536100230747,2.69129412280897,5.0451722473821,467.741608872212,266.784907379371,30.8381116336514,75.3083132732762,50.7507562950996,5.97145743633198
"ENSG00000004059",29.8198998648461,49.3186190498089,205.356300262123,1488.28738812073,35.7837923663514,125.764608683153,29.803869924657,376.21663757885,14.4624887790173,455.694549461938,158.27846047733,16.6953559682684
"ENSG00000004139",15.0475506281536,9.35524658770415,197.737808635473,482.8678239128,4.80536082069709,9.71113956009423,32.7046648578001,1056.95196409832,26.5722403042733,152.700195508159,300.656583987705,15.5402813921782
"ENSG00000004142",19.3050345963911,19.2933519755121,350.769922989158,2485.19553487403,34.4692817796391,96.0136579710998,348.414231403693,369.764971287062,42.0466113924179,1000.30214734021,486.454162878568,33.8794620639499
"ENSG00000004399",0.11101143058367,0.144240973551508,4.56066296058884,402.326062859072,2.32380313213501,9.39747417279039,0.0362806169398053,0.741912817724384,0.0694042812231451,3.35547425940991,8.25677995406425,0.37815649924283
"ENSG00000004455",6.58511674768217,22.339849409879,141.274337508012,1546.1466506252,70.1105585681895,192.585274949223,356.132384574985,1257.25013438231,86.3740906774122,898.01525150969,431.764336875246,29.6870689476341
"ENSG00000004478",35.8004129496944,492.430209777923,666.166209558348,5919.34223913155,97.1902237344659,836.099878392292,553.15926596118,230.410791700294,90.2763089321899,257.038612191675,318.653410500219,62.0030957283534
"ENSG00000004487",27.8575193402406,17.5712032150609,45.3335554487483,1303.31561289133,43.0857439356918,82.8625789461259,602.382631887418,477.373004772572,15.4253866133279,115.052656083986,199.612620398333,10.377727369209
"ENSG00000004534",11.5769419377232,69.0784327598725,710.812319452447,2089.9406459462,115.12050684011,220.187799111782,367.274772633484,387.506010782897,49.1819795311167,124.85811536412,169.79608290335,19.7836708485838
"ENSG00000004660",10.0436003404501,10.4496221361438,99.640128952216,103.102299751127,26.7166036163459,102.920088656694,105.312709338153,103.419887172287,20.9984169948781,26.8321173679141,385.753321367239,18.7591261353206
"ENSG00000004700",9.33033715110417,17.8126786236837,44.122023462289,17.9186733142875,42.1958810647338,98.5427925783427,125.30034124271,26.4323904574392,68.3694138156214,220.920341597854,407.184061443196,13.1316962971885
"ENSG00000004766",19.560129684597,18.138173422516,104.040919549,59.7648070779695,3.3489575598561,16.0931941364454,11.1758159073295,18.377940558623,6.22865536332158,19.3575796398214,88.3207427373898,2.11266113380903
"ENSG00000004777",2.1794957353352,5.60203986867237,24.6127170402306,83.5332650951894,2.69664253255826,30.8209708581043,44.0343030743694,155.327354018985,1.37035126312168,33.4875875800878,3.97128406351585,1.64481462881451
"ENSG00000004779",51.8521662201234,37.4116355389889,186.690995187895,1163.93689090908,14.4370973366326,126.850928926291,492.989797824962,235.509507468127,51.8295021492654,97.4049214331233,245.544617879221,14.1395975597008
"ENSG00000004838",0.312779347928829,1.26431742164037,1.36278709825578,30.7191377571396,1.71710327126726,0.79725064176227,3.82243149736923,1.0708066727195,2.07009880682419,6.71958181451298,2.47740199007995,0.825662978378594
"ENSG00000004864",13.5987290223036,261.54871425427,99.7853521856773,59.3217578239706,6.07045354595297,58.6676173062745,39.4311466562813,713.547017660055,13.2163911451801,66.1951847662294,92.7667403140904,4.14576269471922
"ENSG00000004866",15.3121100822382,21.5199025914015,608.257308188163,1547.98462709537,34.1033732680247,379.965692302833,146.944583145337,2004.02317363232,61.9817725357851,200.11096253939,156.524994850328,4.61364271291448
